winner,winner_score,loser,loser_score
siege,67,blitz,0
siege,88,blitz,12
siege,67,blitz,42
blitz,67,siege,21
siege,70,blitz,0
siege,68,blitz,15
siege,69,blitz,0
siege,73,blitz,47
siege,70,blitz,0
blitz,68,siege,27
siege,82,blitz,7
siege,66,blitz,27
siege,70,blitz,30
siege,66,blitz,21
siege,66,blitz,35
siege,69,blitz,28
siege,72,blitz,36
siege,66,blitz,40
siege,68,blitz,52
siege,66,blitz,54
siege,66,blitz,28
siege,70,blitz,0
siege,75,blitz,28
siege,68,blitz,0
blitz,73,siege,35
siege,82,blitz,0
blitz,78,siege,36
blitz,69,siege,52
siege,67,blitz,13
siege,66,blitz,21
blitz,58,siege,62
blitz,66,siege,21
siege,69,blitz,0
siege,55,blitz,65
siege,69,blitz,38
siege,71,blitz,27
siege,68,blitz,45
blitz,69,siege,52
blitz,85,siege,29
siege,68,blitz,8
blitz,67,siege,19
siege,68,blitz,13
blitz,74,siege,32
blitz,81,siege,39
siege,71,blitz,49
siege,72,blitz,13
blitz,73,siege,47
blitz,63,siege,57
siege,62,blitz,58
siege,68,blitz,0
siege,75,blitz,20
siege,76,blitz,39
blitz,66,siege,21
siege,71,blitz,30
blitz,66,siege,54
siege,76,blitz,32
siege,80,blitz,0
blitz,72,siege,48
siege,75,blitz,0
blitz,78,siege,36
blitz,84,siege,51
blitz,75,siege,33
siege,67,blitz,61
siege,75,blitz,32
siege,68,blitz,59
siege,77,blitz,14
siege,68,blitz,21
siege,76,blitz,44
siege,73,blitz,7
siege,74,blitz,26
siege,72,blitz,36
siege,75,blitz,33
siege,74,blitz,0
siege,71,blitz,49
siege,65,blitz,55
blitz,73,siege,14
siege,67,blitz,20
siege,89,blitz,21
blitz,72,siege,13
siege,74,blitz,46
siege,70,blitz,12
blitz,55,siege,65
blitz,80,siege,60
siege,73,blitz,26
siege,68,blitz,0
siege,67,blitz,48
siege,68,blitz,52
blitz,72,siege,48
blitz,72,siege,15
blitz,63,siege,57
siege,76,blitz,34
siege,70,blitz,20
siege,70,blitz,15
blitz,71,siege,34
blitz,61,siege,59
blitz,83,siege,32
blitz,72,siege,48
blitz,70,siege,28
blitz,68,siege,12
siege,67,blitz,0
blitz,76,siege,44
blitz,55,siege,65
siege,71,blitz,0
blitz,68,siege,21
siege,66,blitz,41
blitz,73,siege,34
siege,67,blitz,40
siege,75,blitz,7
blitz,58,siege,62
blitz,75,siege,20
siege,66,blitz,40
siege,69,blitz,0
siege,67,blitz,26
siege,86,blitz,0
siege,73,blitz,29
siege,69,blitz,14
blitz,62,siege,58
blitz,78,siege,62
siege,103,blitz,0
siege,71,blitz,0
siege,76,blitz,0
siege,71,blitz,41
blitz,72,siege,41
siege,68,blitz,14
siege,79,blitz,41
siege,67,blitz,53
siege,67,blitz,23
blitz,63,siege,57
siege,80,blitz,7
siege,59,blitz,61
blitz,94,siege,53
siege,81,blitz,39
blitz,80,siege,20
blitz,80,siege,40
siege,69,blitz,0
siege,67,blitz,13
siege,68,blitz,0
blitz,68,siege,39
siege,73,blitz,33
siege,75,blitz,31
siege,67,blitz,0
blitz,68,siege,32
siege,66,blitz,54
siege,69,blitz,0
siege,66,blitz,48
blitz,60,siege,60
blitz,74,siege,60
blitz,103,siege,58
siege,76,blitz,8
siege,68,blitz,42
siege,75,blitz,0
blitz,116,siege,37
siege,69,blitz,30
siege,75,blitz,65
siege,67,blitz,38
siege,68,blitz,0
siege,73,blitz,15
siege,66,blitz,14
siege,77,blitz,0
blitz,110,siege,15
blitz,69,siege,20
siege,76,blitz,0
siege,87,blitz,0
siege,61,blitz,59
siege,66,blitz,54
siege,70,blitz,50
blitz,83,siege,18
siege,67,blitz,6
blitz,67,siege,53
siege,78,blitz,27
siege,68,blitz,39
blitz,75,siege,45
siege,73,blitz,0
blitz,75,siege,31
siege,76,blitz,13
siege,65,blitz,55
blitz,79,siege,48
siege,66,blitz,54
siege,75,blitz,51
siege,66,blitz,20
siege,67,blitz,28
siege,70,blitz,0
siege,70,blitz,0
blitz,67,siege,39
siege,85,blitz,0
blitz,58,siege,62
blitz,67,siege,28
siege,69,blitz,0
siege,68,blitz,39
siege,74,blitz,13
blitz,80,siege,40
siege,61,blitz,59
siege,66,blitz,0
blitz,75,siege,45
siege,69,blitz,45
siege,60,blitz,60
siege,68,blitz,0
siege,83,blitz,7
siege,66,blitz,0
blitz,67,siege,34
siege,74,blitz,46
blitz,76,siege,6
siege,57,blitz,63
siege,80,blitz,0
blitz,81,siege,39
siege,74,blitz,0
siege,68,blitz,22
siege,77,blitz,38
siege,68,blitz,0
siege,78,blitz,12
blitz,60,siege,60
siege,73,blitz,15
blitz,68,siege,19
siege,80,blitz,0
siege,66,blitz,61
siege,67,blitz,5
blitz,85,siege,35
siege,70,blitz,21
blitz,58,siege,62
blitz,66,siege,52
siege,73,blitz,21
siege,66,blitz,36
siege,73,blitz,22
siege,82,blitz,0
blitz,60,siege,60
siege,66,blitz,15
siege,66,blitz,56
siege,67,blitz,53
blitz,66,siege,54
siege,73,blitz,13
blitz,65,siege,55
siege,67,blitz,34
siege,68,blitz,27
siege,66,blitz,48
blitz,72,siege,41
siege,75,blitz,0
siege,61,blitz,59
siege,74,blitz,0
siege,68,blitz,0
siege,73,blitz,6
blitz,72,siege,48
blitz,75,siege,45
blitz,71,siege,43
siege,68,blitz,0
blitz,79,siege,53
blitz,71,siege,61
blitz,83,siege,21
siege,69,blitz,0
siege,75,blitz,14
blitz,67,siege,49
siege,72,blitz,28
blitz,67,siege,53
blitz,68,siege,63
siege,66,blitz,13
siege,73,blitz,14
siege,59,blitz,61
siege,105,blitz,15
siege,71,blitz,29
blitz,66,siege,54
blitz,60,siege,60
siege,68,blitz,46
siege,81,blitz,15
siege,71,blitz,0
blitz,68,siege,64
blitz,71,siege,36
siege,87,blitz,35
siege,72,blitz,14
blitz,71,siege,30
blitz,81,siege,26
siege,72,blitz,6
blitz,58,siege,62
siege,84,blitz,0
siege,55,blitz,65
siege,73,blitz,41
siege,67,blitz,15
siege,67,blitz,0
siege,75,blitz,14
siege,68,blitz,18
siege,67,blitz,0
blitz,79,siege,15
siege,67,blitz,53
siege,67,blitz,0
siege,73,blitz,0
blitz,81,siege,13
siege,66,blitz,13
blitz,78,siege,34
siege,66,blitz,0
blitz,68,siege,25
blitz,75,siege,56
siege,71,blitz,15
siege,75,blitz,65
siege,68,blitz,0
blitz,78,siege,0
siege,66,blitz,0
blitz,67,siege,28
siege,69,blitz,0
siege,66,blitz,6
blitz,80,siege,40
siege,75,blitz,12
blitz,70,siege,58
blitz,63,siege,57
siege,67,blitz,17
siege,61,blitz,59
siege,69,blitz,0
siege,67,blitz,0
siege,62,blitz,58
siege,69,blitz,6
siege,73,blitz,0
siege,68,blitz,0
siege,72,blitz,15
siege,62,blitz,58
siege,74,blitz,5
siege,74,blitz,21
siege,90,blitz,20
siege,71,blitz,55
siege,66,blitz,6
siege,69,blitz,7
blitz,99,siege,35
siege,66,blitz,32
siege,68,blitz,52
siege,76,blitz,51
siege,68,blitz,31
siege,67,blitz,0
siege,81,blitz,0
siege,68,blitz,8
siege,66,blitz,28
siege,74,blitz,8
siege,75,blitz,45
siege,67,blitz,46
siege,74,blitz,0
siege,72,blitz,27
siege,63,blitz,57
blitz,77,siege,43
siege,69,blitz,33
blitz,69,siege,51
blitz,69,siege,25
siege,74,blitz,20
siege,78,blitz,13
siege,76,blitz,13
blitz,59,siege,61
siege,67,blitz,0
blitz,66,siege,0
blitz,67,siege,34
siege,83,blitz,0
siege,67,blitz,20
siege,71,blitz,15
siege,76,blitz,0
siege,79,blitz,15
blitz,66,siege,20
siege,73,blitz,21
blitz,75,siege,20
siege,69,blitz,14
siege,69,blitz,51
blitz,71,siege,55
blitz,99,siege,35
blitz,59,siege,61
siege,70,blitz,13
siege,75,blitz,41
siege,67,blitz,39
blitz,67,siege,53
siege,56,blitz,64
blitz,74,siege,20
blitz,60,siege,60
blitz,67,siege,53
blitz,90,siege,57
blitz,68,siege,52
siege,69,blitz,12
siege,68,blitz,0
siege,89,blitz,15
siege,79,blitz,13
blitz,75,siege,32
siege,69,blitz,46
siege,76,blitz,19
siege,67,blitz,13
siege,78,blitz,10
siege,74,blitz,0
blitz,59,siege,61
siege,66,blitz,21
blitz,67,siege,32
blitz,61,siege,59
siege,66,blitz,36
blitz,73,siege,54
siege,91,blitz,15
blitz,79,siege,13
siege,68,blitz,12
siege,68,blitz,48
blitz,74,siege,61
siege,78,blitz,15
siege,69,blitz,0
siege,72,blitz,33
siege,70,blitz,29
blitz,74,siege,19
siege,68,blitz,14
siege,77,blitz,0
siege,67,blitz,42
blitz,73,siege,15
siege,80,blitz,0
siege,70,blitz,31
blitz,75,siege,37
siege,59,blitz,61
siege,72,blitz,43
blitz,72,siege,48
siege,67,blitz,34
siege,69,blitz,40
siege,70,blitz,6
siege,70,blitz,0
siege,76,blitz,44
siege,67,blitz,53
siege,68,blitz,48
siege,76,blitz,0
siege,73,blitz,47
siege,70,blitz,43
siege,75,blitz,45
siege,75,blitz,45
siege,74,blitz,0
siege,67,blitz,14
blitz,74,siege,47
siege,103,blitz,12
siege,69,blitz,25
blitz,77,siege,25
siege,78,blitz,29
siege,69,blitz,39
siege,72,blitz,48
siege,76,blitz,0
siege,69,blitz,18
siege,68,blitz,0
blitz,68,siege,39
siege,71,blitz,0
siege,69,blitz,0
blitz,64,siege,56
siege,73,blitz,0
blitz,68,siege,24
siege,74,blitz,0
siege,57,blitz,63
blitz,91,siege,28
siege,80,blitz,14
siege,66,blitz,40
blitz,61,siege,59
siege,80,blitz,7
siege,73,blitz,12
siege,69,blitz,31
siege,71,blitz,12
blitz,68,siege,38
siege,68,blitz,35
blitz,66,siege,54
siege,68,blitz,6
siege,71,blitz,13
blitz,66,siege,47
blitz,74,siege,46
siege,66,blitz,40
blitz,72,siege,48
siege,75,blitz,33
siege,66,blitz,54
blitz,67,siege,47
blitz,57,siege,63
siege,70,blitz,0
blitz,76,siege,44
blitz,58,siege,62
siege,68,blitz,31
blitz,69,siege,51
siege,68,blitz,48
siege,67,blitz,7
blitz,58,siege,62
siege,73,blitz,33
blitz,68,siege,52
siege,55,blitz,65
siege,78,blitz,14
siege,67,blitz,46
blitz,71,siege,49
siege,78,blitz,14
blitz,66,siege,54
siege,71,blitz,35
blitz,61,siege,59
siege,79,blitz,46
siege,88,blitz,13
blitz,74,siege,39
siege,72,blitz,50
blitz,57,siege,63
siege,78,blitz,42
siege,88,blitz,13
siege,75,blitz,6
siege,67,blitz,20
siege,74,blitz,60
siege,93,blitz,0
siege,74,blitz,34
blitz,72,siege,14
blitz,67,siege,59
siege,67,blitz,0
blitz,67,siege,53
siege,67,blitz,53
blitz,67,siege,0
siege,76,blitz,0
siege,77,blitz,0
blitz,63,siege,57
siege,59,blitz,61
blitz,73,siege,42
blitz,67,siege,7
siege,78,blitz,13
siege,67,blitz,0
siege,61,blitz,59
siege,67,blitz,5
siege,81,blitz,14
siege,68,blitz,0
blitz,60,siege,60
blitz,86,siege,34
siege,71,blitz,0
blitz,77,siege,43
siege,72,blitz,48
siege,73,blitz,54
siege,72,blitz,47
siege,83,blitz,37
blitz,73,siege,0
siege,68,blitz,0
siege,67,blitz,20
siege,75,blitz,6
blitz,78,siege,58
siege,76,blitz,0
siege,66,blitz,35
siege,68,blitz,37
siege,74,blitz,0
siege,68,blitz,60
siege,72,blitz,48
siege,80,blitz,40
siege,67,blitz,53
blitz,68,siege,28
siege,68,blitz,0
siege,82,blitz,38
siege,78,blitz,41
blitz,75,siege,13
siege,66,blitz,0
siege,68,blitz,39
blitz,59,siege,61
siege,80,blitz,20
siege,70,blitz,30
siege,69,blitz,0
blitz,83,siege,18
blitz,68,siege,20
siege,67,blitz,47
siege,68,blitz,52
blitz,67,siege,48
siege,77,blitz,4
siege,72,blitz,42
blitz,72,siege,52
siege,70,blitz,47
blitz,79,siege,49
siege,81,blitz,12
blitz,72,siege,27
siege,60,blitz,60
blitz,75,siege,65
blitz,68,siege,39
siege,74,blitz,13
blitz,66,siege,60
blitz,72,siege,61
siege,67,blitz,26
blitz,67,siege,53
siege,78,blitz,34
blitz,66,siege,48
siege,69,blitz,0
siege,82,blitz,6
siege,65,blitz,55
blitz,60,siege,60
siege,75,blitz,0
siege,75,blitz,0
blitz,82,siege,14
blitz,70,siege,50
siege,108,blitz,0
blitz,77,siege,12
siege,68,blitz,26
blitz,81,siege,39
siege,68,blitz,27
siege,70,blitz,50
siege,75,blitz,7
blitz,73,siege,39
siege,95,blitz,13
blitz,75,siege,0
siege,86,blitz,34
siege,67,blitz,12
siege,67,blitz,0
blitz,68,siege,52
blitz,68,siege,45
blitz,73,siege,63
siege,69,blitz,51
siege,69,blitz,51
siege,73,blitz,21
blitz,66,siege,62
blitz,75,siege,58
siege,68,blitz,47
siege,70,blitz,0
siege,74,blitz,20
blitz,61,siege,59
blitz,83,siege,20
blitz,66,siege,20
blitz,75,siege,39
blitz,61,siege,59
siege,74,blitz,0
siege,85,blitz,0
blitz,72,siege,27
blitz,72,siege,48
siege,67,blitz,21
blitz,73,siege,55
blitz,71,siege,28
siege,78,blitz,27
blitz,75,siege,60
siege,67,blitz,0
siege,68,blitz,0
siege,68,blitz,20
siege,71,blitz,36
blitz,110,siege,18
blitz,74,siege,55
siege,66,blitz,33
siege,65,blitz,55
siege,77,blitz,0
blitz,71,siege,49
siege,87,blitz,0
blitz,68,siege,52
siege,78,blitz,0
blitz,69,siege,45
siege,67,blitz,34
blitz,73,siege,34
siege,68,blitz,0
blitz,68,siege,18
siege,68,blitz,52
siege,71,blitz,0
blitz,80,siege,60
siege,68,blitz,5
siege,67,blitz,34
siege,70,blitz,0
siege,89,blitz,15
siege,72,blitz,0
siege,74,blitz,12
siege,68,blitz,38
blitz,67,siege,53
siege,68,blitz,0
siege,71,blitz,49
siege,66,blitz,40
siege,77,blitz,0
siege,69,blitz,13
blitz,59,siege,61
blitz,86,siege,34
siege,69,blitz,6
blitz,61,siege,59
blitz,66,siege,39
siege,80,blitz,20
blitz,68,siege,13
siege,81,blitz,44
siege,72,blitz,48
blitz,68,siege,0
siege,68,blitz,0
siege,72,blitz,21
siege,81,blitz,40
blitz,74,siege,62
siege,67,blitz,27
siege,67,blitz,26
siege,75,blitz,0
blitz,67,siege,26
siege,70,blitz,44
blitz,70,siege,50
blitz,103,siege,35
siege,66,blitz,34
siege,89,blitz,0
siege,68,blitz,25
siege,83,blitz,6
siege,74,blitz,20
blitz,76,siege,38
blitz,66,siege,15
blitz,63,siege,57
siege,73,blitz,25
blitz,67,siege,13
blitz,68,siege,20
siege,68,blitz,0
blitz,80,siege,56
blitz,70,siege,29
siege,75,blitz,65
siege,67,blitz,14
blitz,84,siege,49
blitz,57,siege,63
siege,68,blitz,44
siege,72,blitz,0
blitz,97,siege,14
siege,67,blitz,12
blitz,68,siege,52
blitz,67,siege,63
blitz,63,siege,57
siege,67,blitz,64
blitz,67,siege,33
blitz,74,siege,31
siege,82,blitz,0
siege,67,blitz,24
siege,71,blitz,7
blitz,66,siege,54
blitz,74,siege,53
siege,75,blitz,65
siege,75,blitz,19
blitz,68,siege,45
siege,74,blitz,8
siege,69,blitz,0
siege,88,blitz,0
blitz,67,siege,40
siege,78,blitz,36
siege,67,blitz,32
siege,67,blitz,35
siege,70,blitz,5
blitz,81,siege,39
blitz,64,siege,56
blitz,71,siege,37
siege,57,blitz,63
siege,67,blitz,0
blitz,68,siege,6
siege,67,blitz,13
siege,67,blitz,6
blitz,71,siege,54
siege,68,blitz,26
siege,66,blitz,26
siege,67,blitz,31
siege,66,blitz,41
siege,67,blitz,0
blitz,70,siege,29
siege,69,blitz,0
siege,79,blitz,19
siege,67,blitz,39
blitz,67,siege,34
blitz,77,siege,58
siege,72,blitz,43
siege,110,blitz,0
siege,75,blitz,0
siege,74,blitz,46
siege,68,blitz,45
siege,73,blitz,0
blitz,74,siege,46
siege,66,blitz,0
siege,83,blitz,24
siege,81,blitz,15
blitz,66,siege,26
siege,66,blitz,26
siege,73,blitz,47
blitz,99,siege,48
siege,71,blitz,35
siege,72,blitz,62
blitz,85,siege,42
blitz,86,siege,27
siege,97,blitz,6
blitz,95,siege,40
siege,80,blitz,0
siege,76,blitz,33
siege,73,blitz,52
siege,73,blitz,47
siege,67,blitz,32
siege,73,blitz,0
siege,75,blitz,0
siege,75,blitz,45
blitz,78,siege,28
siege,87,blitz,7
siege,67,blitz,0
siege,69,blitz,0
siege,68,blitz,4
siege,66,blitz,21
siege,67,blitz,4
blitz,79,siege,0
blitz,75,siege,28
siege,68,blitz,0
blitz,65,siege,55
siege,73,blitz,0
siege,80,blitz,15
siege,64,blitz,56
siege,69,blitz,13
blitz,68,siege,27
blitz,75,siege,26
siege,66,blitz,28
siege,80,blitz,26
blitz,81,siege,40
siege,66,blitz,20
siege,67,blitz,0
blitz,68,siege,47
siege,73,blitz,0
siege,69,blitz,45
siege,108,blitz,14
siege,67,blitz,12
blitz,73,siege,35
siege,65,blitz,55
siege,75,blitz,0
siege,69,blitz,0
siege,67,blitz,41
siege,66,blitz,15
siege,75,blitz,32
siege,75,blitz,21
blitz,69,siege,55
blitz,74,siege,46
siege,99,blitz,15
blitz,75,siege,45
blitz,75,siege,45
blitz,66,siege,54
siege,65,blitz,55
siege,67,blitz,12
siege,87,blitz,15
blitz,68,siege,46
blitz,78,siege,56
siege,58,blitz,62
siege,71,blitz,0
siege,75,blitz,33
siege,66,blitz,0
siege,73,blitz,13
siege,68,blitz,40
blitz,60,siege,60
siege,71,blitz,6
siege,67,blitz,53
siege,67,blitz,0
siege,67,blitz,53
blitz,75,siege,41
blitz,67,siege,24
siege,67,blitz,5
siege,66,blitz,54
siege,76,blitz,28
siege,77,blitz,0
siege,67,blitz,33
siege,63,blitz,57
blitz,67,siege,47
siege,66,blitz,34
siege,70,blitz,0
blitz,86,siege,34
blitz,78,siege,42
siege,67,blitz,23
blitz,101,siege,19
blitz,75,siege,51
siege,69,blitz,26
siege,74,blitz,27
siege,100,blitz,41
siege,75,blitz,0
siege,67,blitz,35
siege,66,blitz,54
siege,74,blitz,38
siege,68,blitz,0
siege,67,blitz,13
siege,69,blitz,19
siege,70,blitz,0
siege,59,blitz,61
siege,68,blitz,0
siege,75,blitz,0
siege,68,blitz,39
blitz,78,siege,42
siege,72,blitz,0
siege,70,blitz,0
blitz,77,siege,31
siege,69,blitz,0
blitz,77,siege,21
blitz,75,siege,5
siege,74,blitz,0
siege,76,blitz,0
blitz,69,siege,7
siege,74,blitz,26
siege,67,blitz,58
blitz,70,siege,17
siege,66,blitz,0
siege,82,blitz,38
blitz,68,siege,47
blitz,74,siege,12
siege,69,blitz,0
siege,75,blitz,45
siege,69,blitz,19
blitz,77,siege,48
siege,74,blitz,20
siege,72,blitz,36
siege,75,blitz,0
blitz,66,siege,14
siege,67,blitz,0
siege,74,blitz,46
blitz,68,siege,38
blitz,66,siege,6
siege,68,blitz,0
siege,69,blitz,0
blitz,69,siege,59
siege,73,blitz,41
siege,66,blitz,54
siege,71,blitz,0
siege,73,blitz,0
blitz,73,siege,33
siege,68,blitz,0
siege,66,blitz,20
siege,75,blitz,0
siege,68,blitz,39
blitz,75,siege,65
siege,70,blitz,21
siege,66,blitz,40
siege,96,blitz,0
siege,70,blitz,0
siege,66,blitz,0
siege,71,blitz,37
siege,70,blitz,0
blitz,77,siege,63
siege,69,blitz,45
siege,69,blitz,0
blitz,68,siege,11
siege,79,blitz,41
blitz,79,siege,12
siege,68,blitz,0
blitz,74,siege,42
blitz,73,siege,54
blitz,65,siege,55
blitz,62,siege,58
siege,71,blitz,27
siege,79,blitz,41
siege,81,blitz,21
siege,68,blitz,52
siege,69,blitz,44
siege,66,blitz,41
siege,72,blitz,33
siege,66,blitz,6
siege,62,blitz,58
siege,78,blitz,0
siege,81,blitz,0
siege,66,blitz,41
siege,66,blitz,15
siege,69,blitz,38
blitz,66,siege,47
siege,73,blitz,27
siege,72,blitz,12
siege,75,blitz,28
siege,67,blitz,46
blitz,72,siege,48
siege,80,blitz,15
blitz,74,siege,42
siege,67,blitz,0
siege,55,blitz,65
blitz,68,siege,0
siege,70,blitz,0
blitz,82,siege,45
siege,67,blitz,53
blitz,76,siege,14
siege,74,blitz,46
siege,74,blitz,40
siege,68,blitz,0
siege,76,blitz,0
blitz,72,siege,50
siege,69,blitz,0
siege,68,blitz,40
blitz,66,siege,37
blitz,75,siege,6
siege,67,blitz,54
siege,79,blitz,0
siege,56,blitz,64
siege,74,blitz,15
siege,87,blitz,15
siege,101,blitz,0
blitz,77,siege,43
siege,67,blitz,0
blitz,68,siege,60
blitz,59,siege,61
siege,69,blitz,34
siege,67,blitz,53
siege,66,blitz,7
blitz,73,siege,55
siege,83,blitz,0
siege,69,blitz,0
siege,67,blitz,6
blitz,73,siege,47
blitz,68,siege,39
siege,67,blitz,40
blitz,75,siege,65
siege,74,blitz,12
blitz,78,siege,30
blitz,57,siege,63
blitz,67,siege,39
siege,68,blitz,36
siege,72,blitz,28
siege,68,blitz,35
blitz,66,siege,34
siege,67,blitz,14
siege,67,blitz,5
siege,67,blitz,25
blitz,67,siege,14
siege,76,blitz,0
blitz,67,siege,55
siege,67,blitz,27
siege,72,blitz,13
blitz,70,siege,64
siege,66,blitz,40
siege,72,blitz,42
blitz,64,siege,56
blitz,75,siege,51
blitz,67,siege,53
blitz,85,siege,35
siege,69,blitz,0
siege,76,blitz,14
siege,67,blitz,0
siege,67,blitz,21
siege,69,blitz,0
siege,65,blitz,55
blitz,68,siege,34
siege,68,blitz,34
blitz,75,siege,45
blitz,86,siege,55
siege,69,blitz,12
siege,80,blitz,0
siege,68,blitz,15
siege,68,blitz,0
siege,74,blitz,4
siege,69,blitz,30
blitz,84,siege,49
siege,66,blitz,20
siege,79,blitz,19
blitz,69,siege,64
blitz,66,siege,54
blitz,66,siege,54
blitz,61,siege,59
siege,82,blitz,0
siege,70,blitz,13
siege,75,blitz,12
blitz,67,siege,58
siege,67,blitz,0
siege,69,blitz,0
siege,76,blitz,27
siege,67,blitz,17
blitz,69,siege,51
siege,68,blitz,61
siege,66,blitz,52
siege,76,blitz,0
siege,69,blitz,32
siege,66,blitz,39
siege,67,blitz,41
siege,68,blitz,0
blitz,69,siege,18
blitz,62,siege,58
blitz,77,siege,43
siege,70,blitz,50
siege,72,blitz,27
siege,67,blitz,34
siege,71,blitz,34
siege,89,blitz,0
blitz,66,siege,54
siege,67,blitz,14
siege,73,blitz,28
blitz,66,siege,35
siege,74,blitz,13
siege,77,blitz,13
siege,81,blitz,0
siege,70,blitz,0
blitz,73,siege,13
blitz,64,siege,56
blitz,60,siege,60
blitz,58,siege,62
blitz,58,siege,62
siege,55,blitz,65
siege,69,blitz,51
blitz,73,siege,47
siege,74,blitz,7
siege,77,blitz,0
siege,76,blitz,21
blitz,70,siege,0
siege,76,blitz,17
blitz,64,siege,56
siege,70,blitz,8
siege,68,blitz,52
siege,66,blitz,27
blitz,68,siege,13
siege,68,blitz,0
siege,66,blitz,42
siege,66,blitz,53
siege,77,blitz,6
siege,69,blitz,0
blitz,71,siege,36
siege,81,blitz,25
siege,75,blitz,0
blitz,70,siege,50
siege,68,blitz,32
siege,65,blitz,55
blitz,67,siege,53
siege,67,blitz,32
siege,74,blitz,46
blitz,69,siege,47
blitz,85,siege,27
siege,67,blitz,40
siege,75,blitz,4
siege,74,blitz,21
siege,67,blitz,33
siege,80,blitz,8
siege,70,blitz,0
siege,71,blitz,15
siege,74,blitz,6
blitz,75,siege,45
siege,69,blitz,51
siege,67,blitz,0
blitz,104,siege,52
blitz,76,siege,64
siege,67,blitz,53
siege,72,blitz,20
siege,66,blitz,26
blitz,67,siege,38
blitz,78,siege,62
siege,73,blitz,63
siege,83,blitz,43
siege,82,blitz,14
blitz,56,siege,64
siege,78,blitz,62
blitz,78,siege,0
siege,67,blitz,7
siege,67,blitz,30
blitz,56,siege,64
siege,67,blitz,57
